"Contract Line Item Number (CLIN) (RFP ID)",UNSPSC Code,Manufacturer Part Number (OEM #),"Manufacturer
(OEM)",SKU # / Item #,Item Description,UOM,"Qty in
UOM",List Price/MSRP,"Contract Unit
Price","Contract
Discount","Segment ID /Product Category/Group
ID"
100-C,43211507,T6V32UP,HP,T6V32UP,"HP ProDesk 600 G2 SFF Business PC, Single
Unit (SFF) Packaging, ENERGY STAR Qualified
Label, HP ProDesk 600 SFF Platinum G2
Chassis, Microsoft Windows 7 Professional 64, Intel Core i5-6500 3.2G 6M 2133 4C CPU, 4GB DDR4-2133 DIMM (1x4GB) RAM, 500GB 7200
RPM SATA 6G 3.5 HDD, HP USB Business Slim
Keyboard
HP USB Mouse, 9.5mm Slim Desktop, uperMulti DVDRW ODD, 3/3/3 SFF Warranty US, HP ProDesk 600 Country Kit US, Intel Inside Core i5
SFF Label",each,1,901.00,450.50,50%,Core Standard Desktop
102-B,43211507,W3U92UP,HP,W3U92UP,"Standard Desktop 800G2 SFF, HP EliteDesk 800
G2 SFF Business PC, Single Unit (SFF) Packaging, ENERGY STAR Qualified Label HP EliteDesk 800 SFF Platinum G2 Chassis
Microsoft Windows 7 Professional 64, Intel Core
i5-6500 3.2G 6M 2133 4C CPU, 4GB DDR4-2133 (1x4GB) RAM, 500GB 7200 RPM SATA 6G 3.5
HDD, HP USB Business Slim Keyboard, HP USB Mouse, 9.5mm Slim Desktop SuperMulti DVDRW ODD, 3/3/3 (material/labor/onsite) SFF/ST Warranty US
HP EliteDesk 800 Country Kit US, Intel Inside
Core i5 SFF Label",each,1,983.00,491.50,50%,Core Standard Desktop
101-C,43211507,T6V33UP,HP,T6V33UP,"HP EliteDesk STANDARD DT 600G2 CMT, HP ProDesk 600 G2 MT Business PC, Single Unit (MT) Packaging, ENERGY STAR Qualified Label, HP ProDesk 600 MT Platinum G2 Chassis, Microsoft Windows 7 Professional 64, Intel Core
i5-6500 3.2G 6M 2133 4C CPU, 4GB DDR4-2133
DIMM (1x4GB) RAM, 500GB 7200 RPM SATA
6G 3.5 HDD, HP USB Business Slim Keyboard, HP USB Mouse, 9.5mm Slim Desktop SuperMulti DVDRW, DD, 3/3/3 (material/labor/onsite) MT Warranty US, HP ProDesk 600 Country Kit US, Intel Inside Core i5 TWR/MT Label",each,1,952.00,476.00,50%,Core Standard Desktop
103-B,43211507,W3U93UP,HP,W3U93UP,"Standard Desktop 800G2 CMT, HP EliteDesk 800
G2 TWR Business PC, Single Unit (TWR) Packaging, ENERGY STAR Qualified Label, HP EliteDesk 800 TWR Platinum G2 Chassis, Microsoft Windows 7 Professional 64, Intel Core
i5-6500 3.2G 6M 2133 4C CPU, 4GB DDR4-2133 (1x4GB) RAM, 500GB 7200 RPM SATA 6G 3.5
HDD, HP USB Business Slim Keyboard, HP USB Mouse, 9.5mm Slim Desktop SuperMulti DVDRW ODD, 3/3/3 (material/labor/onsite) TWR Warranty US, HP EliteDesk 800 Country Kit US, Intel Inside Core i5 TWR/MT Label",each,1,"1,019.00",509.50,50%,Core Standard Desktop
105-A,43211507,T6V05UP,HP,T6V05UP,"HP EliteDesk PWR DT 800G2 DM i5, HP EliteDesk 800 G2 DM 65W Business PC, Single Unit (DM) Packaging, ENERGY STAR Qualified Label, Microsoft Windows 7 Professional 64, Intel Core i5-6500 3.2G 6M 2133 4C CPU, 8GB DDR4-
2133 SODIMM (2x4GB) RAM, 500GB 7200 RPM SATA 2.5 HDD, HP USB Business Slim Keyboard, HP USB Mouse, HP 90W External Power Supply, 3/3/3 DM Warranty US, HP EliteDesk 800 Country Kit US",each,1,"1,085.00",542.50,50%,Core Standard Desktop
106-A,43211507,T6V04UP,HP,T6V04UP,"HP EliteDesk PWR DT 800G2 DM i7, HP
EliteDesk 800 G2 DM 65W Business PC, Single Unit (DM) Packaging, ENERGY STAR Qualified Label, W10P6 DG76 64-bit OS, Intel Core i7-
6700 3.4G 8M 2133 4C CPU, 8GB DDR4-2133
SODIMM (2x4GB) RAM, 500GB 7200 RPM SATA
2.5 HDD, HP USB Business Slim Keyboard, HP USB Mouse, HP 90W External Power Supply,
3/3/3 DM Warranty US, HP EliteDesk 800
Country Kit US",each,1,"1,234.00",617.00,50%,Core Standard Desktop
200-C,43211507,T6U97UP,HP,T6U97UP,"Power Desktop 800G2 SFF, HP EliteDesk 800
G2 SFF Business PC, Single Unit (SFF) Packaging, ENERGY STAR Qualified Label, HP EliteDesk 800 SFF Platinum G2 Chassis, Microsoft Windows 7 Professional 64, Intel Core
i7-6700 3.4G 8M 2133 4C CPU, 8GB DDR4-2133 (2x4GB) RAM, 500GB 7200 RPM SATA 6G 3.5
HDD, HP USB Business Slim Keyboard, HP USB Mouse, 9.5mm Slim Desktop SuperMulti DVDRW ODD, 3/3/3 (material/labor/onsite) SFF/ST Warranty US, HP EliteDesk 800 Country Kit US, Intel Inside Core i7 SFF Label",each,1,"1,234.00",617.00,50%,Core Power Desktop
201-C,43211507,T6U98UP,HP,T6U98UP,"Power Desktop 800G2 CMT, HP EliteDesk 800
G2 TWR Business PC, Single Unit (TWR) Packaging, ENERGY STAR Qualified Label, HP EliteDesk 800 TWR Platinum G2 Chassis, Microsoft Windows 7 Professional 64, Intel Core
i7-6700 3.4G 8M 2133 4C CPU, 8GB DDR4-2133 (2x4GB) RAM, 500GB 7200 RPM SATA 6G 3.5
HDD, HP USB Business Slim Keyboard, HP USB Mouse, 9.5mm Slim Desktop SuperMulti DVDRW ODD, 3/3/3 (material/labor/onsite) TWR Warranty US, HP EliteDesk 800 Country Kit US, Intel Inside Core i7 TWR/MT Label",each,1,"1,271.00",635.50,50%,Core Power Desktop
300-B,43211507,K5Y37UP,HP,K5Y37UP,"HP Z640 Workstation, HP Single Unit Packaging, HP Z640 925W 90% Efficient Chassis, Windows
8.1 Pro 64bit DG to Win 7 Pro OS, No Factory OS Recovery Media, Xeon E5-1603v3 4C 2.80 10MB
1866 CPU, 16GB DDR4-2133 (2x8GB) 1CPU Reg RAM, NVIDIA Quadro K2200 4.0GB Graphics, 600GB 15K RPM SAS SFF 1st HDD, HP USB Keyboard, HP USB Optical Mouse,
9.5mm Slim SuperMulti DVDRW 1st ODD, HP
3/3/3 Warranty, HP Z640 Country Kit",each,1,"3,325.00","1,662.50",50%,Core Workstation Desktop
400-B,43211507,F5A53AA#ABA,HP,F5A53AA#ABA,"HP t620 Flexible Series AMD Thin Client WES7E,
AMD Fusion t56N 2nd Gen. 1.65GHz dual core
1MB L2 Cache, 4GB (1x4GB) RAM DDR3-1600,
16 GB SSD, 3/3/0 Warranty",each,1,720.00,360.00,50%,Core Thin Client Desktop
500-C,43211507,T6V34UP,HP,T6V34UP,"800G2 All In One Desktop, HP EliteOne 800 G2
23-in Touch All-in-One PC, ENERGY STAR Qualified Label, Microsoft Windows 7
Professional 64, Intel Core i5-6500 3.2G 6M 2133
4C CPU, 4GB DDR4-2133 SODIMM (1x4GB) RAM, 500GB 7200 RPM SATA 2.5 1st HDD, HP USB Business Slim Keyboard, HP USB Mouse,
9.5mm Slim 800 G2 AIO SuperMulti DVD ODD, No Included Media Card Reader, 3/3/3 (material/labor/onsite) AiO Warranty US, HP Adjustable Height St 8/7/6/4 G2 AIOs, HP EliteOne 800 G2 AiO Country Kit US, Certified for
Skype for Business Label",each,1,"1,661.00",830.50,50%,Core All-in-One Desktop
1004-A,43211902,L1G56AV,HP,L1G56AV,AMD Radeon R9 350 2GB DH PCIe x16 GFX,each,1,159.00,63.60,60%,POWER DESKTOP 800 Upgrade
1007-A,43211902,N1T21AV,HP,N1T21AV,Intel 8260 802.11ac PCIe-CL BT VPro,each,1,150.00,60.00,60%,POWER DESKTOP 800 Upgrade
1009-A,43211902,L1Z45AV,HP,L1Z45AV,Slim Desktop DVD-ROM ODD,each,1,28.00,11.20,60%,POWER DESKTOP 800 Upgrade
1010-A,43211902,N8G29AV,HP,N8G29AV,Intel Core i5-6600 3.3G 6M 2133 4C CPU,each,1,835.00,334.00,60%,600 Desktop Upgrades
1011-B,43211902,L1Q07AV,HP,L1Q07AV,8GB DDR4-2133 DIMM (2x4GB) RAM,each,1,215.00,86.00,60%,600 Desktop Upgrades
1012-A,43211902,L1P96AV,HP,L1P96AV,AMD Radeon R9 350 2GB DH PCIe x16 GFX,each,1,220.00,88.00,60%,600 Desktop Upgrades
1013-A,43211902,L1Q19AV,HP,L1Q19AV,Intel 7265 802.11AC PCIe BT nVPr,each,1,81.00,32.40,60%,600 Desktop Upgrades
1014-A,43211902,L2B27AV,HP,L2B27AV,Slim Desktop DVD-ROM ODD,each,1,75.00,30.00,60%,600 Desktop Upgrades
1015-B,43211902,L1G54AV,HP,L1G54AV,16GB DDR4-2133 DIMM (2x8GB) RAM,each,1,520.00,208.00,60%,POWER DESKTOP 800 Upgrade
