Contract Line Item Number (CLIN) ,Manufacturer Part Number (OEM #) ,Manufacturer (OEM) ,SKU # / Item # ,Item Description ,Unit of Measure ,Quantity in Unit of Measure (If Applicable) ,List Price/MSRP ,Contract Unit Price ,Contract Discount ,Category 
1002c ,370-ACLY ,DELL ,370-ACLY ,8GB (1x8GB) 1600MHz DDR3L Memory ,EACH ,1,130.00,88.40,32%,Standard Desktop Options Upgrades 
1003c ,490-BCYL ,DELL ,490-BCYL ,AMD RadeonTM R5 340X (2GB DP/DVI-I) ,EACH ,1,110.00,74.80,32%,Standard Desktop Options Upgrades 
1005b ,400-AIOY ,DELL ,400-AIOY ,3.5 1TB 7200rpm HDD ,EACH ,1,130.00,88.40,32%,Standard Desktop Options Upgrades 
1006b ,"470-ABLQ, 555- BCMT ",DELL ,"470-ABLQ, 555- BCMT ",Intel® Dual Band Wireless 8260 (802.11ac) + Bluetooth ,EACH ,1,53.00,36.04,32%,Standard Desktop Options Upgrades 
1007b ,429-AAVN ,DELL ,429-AAVN ,8x DVD-ROM 9.5mm Optical Disk Drive ,EACH ,1,40.00,27.20,32%,Standard Desktop Options Upgrades 
1008a ,A4051228 ,DELL ,A4051228 ,Comfort wave Ergonomic keyboard ,EACH ,1,79.99,54.39,32%,Standard Desktop Options Upgrades 
1009b ,A7055994 ,DELL ,A7055994 ,Performance Ergonomic mouse mx ,EACH ,1,99.99,67.99,32%,Standard Desktop Options Upgrades 
1010a ,A6107465 ,DELL ,A6107465 ,K360 wireless keyboard ,EACH ,1,29.99,20.39,32%,Standard Desktop Options Upgrades 
1011b,A6024088,DELL,A6024088,Wireless mouse M525 ,EACH,1,39.99,27.19,32%,Standard Desktop Options Upgrades
1012b,A5950984,DELL,A5950984,Jabra UC Voice 150 USB Duo. Headband INL ,EACH,1,33.99,23.11,32%,Standard Desktop Options Upgrades
1013a,313-7362,DELL,313-7362,"AX210 USB Stereo Speakers WW, I/S/X DT C ",EACH,1,19.99,13.59,32%,Standard Desktop Options Upgrades
1014c,A3881047,DELL,A3881047,H110 2 Stereo Headset ,EACH,1,14.99,10.19,32%,Standard Desktop Options Upgrades
1015a,A3793590,DELL,A3793590,6 ft DVI-D Single Link Digital Video Monitor Cable w/ Audio ,EACH,1,12.99,8.83,32%,Standard Desktop Options Upgrades
1016b,470-AANH,DELL,470-AANH,DisplayPort 1.1 Male to DVI-D Male Black Cable - 6.5 ft ,EACH,1,24.99,16.99,32%,Standard Desktop Options Upgrades
1017b,470-AANW,DELL,470-AANW,DiplayPort to DVI (Dual-Link) ,EACH,1,139.99,95.19,32%,Standard Desktop Options Upgrades
1019c,370-ACMQ,DELL,370-ACMQ,16GB (2x8GB) 1600MHz DDR3L Memory (5040) ,EACH,1,260.00,176.80,32%,Power Desktop Options Upgrades
1020c,490-BCPG,DELL,490-BCPG,AMD RadeonTM R5 340X (2GB DP/DVI-I) ,EACH,1,110.00,74.80,32%,Power Desktop Options Upgrades
1021c,490-BCPF,DELL,490-BCPF,"AMD RadeonTM R7 350X, 4GB, HH (DP, SL-DVI-I) ",EACH,1,180.00,122.40,32%,Power Desktop Options Upgrades
1022c,400-AIOY,DELL,400-AIOY,3.5 inch 1TB 7200rpm Hard Disk Drive ,EACH,1,130.00,88.40,32%,Power Desktop Options Upgrades
1023c,400-AIRX,DELL,400-AIRX,128GB SATA Solid State Drive ,EACH,1,200.00,136.00,32%,Power Desktop Options Upgrades
1024c,400-AIRY,DELL,400-AIRY,256GB PCIe Solid State Drive ,EACH,1,400.00,272.00,32%,Power Desktop Options Upgrades
1026d,"470-ABLQ, 555-BCMT",DELL,"470-ABLQ, 555-BCMT",Intel® Dual Band Wireless 8260 (802.11ac) + Bluetooth ,EACH,1,53.00,36.04,32%,Power Desktop Options Upgrades
1027d,631-AASS,DELL,631-AASS,Upgrade to Intel Standard Manageability ,EACH,1,15.00,10.20,32%,Power Desktop Options Upgrades
1028d,429-AAVN,DELL,429-AAVN,8x DVD-ROM 9.5mm Optical Disk Drive ,EACH,1,40.00,27.20,32%,Power Desktop Options Upgrades
1030b ,338-BFJW,DELL,338-BFJW,"Intel® Xeon® Processor E5-1620 v3 (Quad Core HT, 3.7 GHz Turbo, 10 MB) ",EACH,1,340.00,231.20,32%,Workstation Options Upgrades 
1031b ,338-BFJV,DELL,338-BFJV,"Intel® Xeon® Processor E5-1660 v3 (Six Core HT, 3.5 GHz Turbo, 12 MB) ",EACH,1,1820.00,1237.60,32%,Workstation Options Upgrades 
