Contract Line Item Number (CLIN) ,UNSPSC Code (Version 11) ,Manufacturer Part Number (OEM) ,Manufacturer (OEM) ,SKU # / Item # ,New Item Description ,Unit of Measure ,Quantity in Unit of Measure (if Applicable ) ,List Price/MSRP ,Contract Unit Price ,Contract Discount ,Category 
100d,43211500, 210-AFTZ,DELL, 210-AFTZ,"Standard - Dell Latitude E5470 - i5-6200U, 2.3GHz, 4GB DDR4- 2133MHz 1DIMM, Windows 10 Pro 64-bit (Windows 7 Compatible), 500GB SATA II 7200RPM, Intel Integrated Graphics Card, 14.0"" HD EACH Widescreen, Integrated Wireless, Bluetooth, 4-Cell Battery, 3 -Year NBD Onsite Warranty",EACH,1,"1,624.09",730.80,4 55%,Standard Laptop Config 
100e,43211500,210-AFUD ,DELL,210-AFUD ,"Standard - Dell Latitude E5570 - i5-6300U, 2.4GHz, 4GB DDR4-
2133MHz 1DIMM, Windows 10 Pro 64-bit (Windows 7 Compatible),
500GB SATA II 7200RPM, Intel Integrated Graphics Card, 15.6"" HD EACH Widescreen, Integrated Wireless, Bluetooth, 4-Cell Battery, 3 -Year
NBD Onsite Warranty",EACH,1,"1,664.09",748.80,4 55%,Standard Laptop Config 
200d,43211500,210-AFTZP ,DELL,210-AFTZP ,"Power - Dell Latitude E5470 - i5-6200U, 2.3GHz, 8GB DDR4-
2133MHz 2DIMM, Windows 10 Pro 64-bit (Windows 7 Compatible),
500GB SATA II 7200RPM, Intel Integrated Graphics Card, 14.0"" HD EACH Widescreen, Integrated Wireless, Bluetooth, 4-Cell Battery, 3 -Year
NBD Onsite Warranty",EACH,1,"1,699.09",764.50,9 55%,Power Laptop Config 
300d,43211500,210-AFTT ,DELL,210-AFTT ,"Ultralight - Dell Latitude E7270 - i5-6200U, 2.3GHz, 4GB DDR4-
2133MHz 1DIMM, Windows 10 Pro 64-bit (Windows 7 Compatible),
128GB SATA III Solid State HD, Intel Integrated Graphics Card, 12.5"" EACH HD Widescreen Integrated Wireless, Bluetooth, 4-Cell Battery, 3-Year
NDB Onsite Warranty",EACH,1,"1,947.80",876.51,55%,Ultralight Laptop Config 
300e,43211500,210-AFQD ,DELL,210-AFQD ,"Ultralight - Dell Latitude E7470 - i5-6200U, 2.3GHz, 4GB DDR4-
2133MHz 1DIMM, Windows 10 Pro 64-bit (Windows 7 Compatible),
128GB SATA III Solid State HD, Intel Integrated Graphics Card, 14"" EACH HD Widescreen Integrated Wireless, Bluetooth, 4-Cell Battery, 3-Year
NDB Onsite Warranty",EACH,1,"1,920.23",864.10,55%,Ultralight Laptop Config 
400d,43211500,210-AFXM ,DELL,210-AFXM ,"Mobile Workstation - Dell Mobile Precision 7510 - i7-6820HQ 2.7GHz
Quad Core, 16GB DDR4 2133MHz 2DIMMS, Windows 10 Pro 64-bit
(Windows 7 Compatible), 500GB SATA II 7200RPM, AMD FireProTM EACH W5170M w/2GB GDDR5, 15.6"" HD Widescreen, Integrated Wireless,
Bluetooth. 6-cell battery. 3-Year NBD Onsite Warranty",EACH,1,"2,230.06","1,003.53",55%,Mobile Workstation Config 
1005b,43211500, 451-BBUV,DELL, 451-BBUV,6 Cell (91 Whr) Long Life Cycle Lithium Polymer battery ,EACH,1,212.86,138.36,35%,Options/Upgrades Mobile Workstation 
1007,43211500, 313-7362,DELL, 313-7362,USB Powered External Speakers ,EACH,1,19.99,12.99,35%,Options/Upgrades All Laptops 
1008c,43211500, 429-AAUX,DELL, 429-AAUX,USB External DVD+/-RW Drive ,EACH,1,59.99,38.99,35%,Options/Upgrades Standard and Ultralight Laptop 
1009c,43211500," 379-BCFY, 391-B",DELL," 379-BCFY, 391-B","Intel® CoreTM i7-6600U (Dual Core, 2.6GHz, 4M cache, 15W) vPro ",EACH,1,500.00,"3,250.00",35%,Options/Upgrades Power Laptop 
